Oficina de Control Migratorio,País,Año,Mes,Valor
Otras Oficinas Migratorias,RUSIA,2025,10,
Otras Oficinas Migratorias,ALEMANIA,2025,9,
Otras Oficinas Migratorias,BELGICA,2025,9,
Otras Oficinas Migratorias,ESPAÑA,2025,9,
Otras Oficinas Migratorias,FRANCIA,2025,9,
Otras Oficinas Migratorias,ITALIA,2025,9,
Otras Oficinas Migratorias,PAISES BAJOS (Holanda),2025,9,
Otras Oficinas Migratorias,PORTUGAL,2025,9,
Otras Oficinas Migratorias,REINO UNIDO,2025,9,
Otras Oficinas Migratorias,AUSTRIA,2025,9,
Otras Oficinas Migratorias,BELORUSIA,2025,9,
Otras Oficinas Migratorias,BULGARIA,2025,9,
Otras Oficinas Migratorias,DINAMARCA,2025,9,
Otras Oficinas Migratorias,FINLANDIA,2025,9,
Otras Oficinas Migratorias,GRECIA,2025,9,
Otras Oficinas Migratorias,IRLANDA,2025,9,
Otras Oficinas Migratorias,LUXEMBURGO,2025,9,
Otras Oficinas Migratorias,NORUEGA,2025,9,
Otras Oficinas Migratorias,POLONIA,2025,9,
Otras Oficinas Migratorias,REP.CHECA,2025,9,
Otras Oficinas Migratorias,CROACIA,2025,9,
Otras Oficinas Migratorias,ESLOVAQUIA,2025,9,
Otras Oficinas Migratorias,ESLOVENIA,2025,9,
Otras Oficinas Migratorias,HUNGRIA,2025,9,
Otras Oficinas Migratorias,LITUANIA,2025,9,
Otras Oficinas Migratorias,ALBANIA,2025,9,
Otras Oficinas Migratorias,ANDORRA,2025,9,
Otras Oficinas Migratorias,BOSNIA Y HERZEGOVINA,2025,9,
Otras Oficinas Migratorias,CHIPRE,2025,9,
Otras Oficinas Migratorias,ESTONIA,2025,9,
Otras Oficinas Migratorias,EX R.YUG.MACEDONIA,2025,9,
Otras Oficinas Migratorias,GROENLANDIA,2025,9,
Otras Oficinas Migratorias,ISLANDIA,2025,9,
Otras Oficinas Migratorias,LETONIA,2025,9,
Otras Oficinas Migratorias,LIECHTENSTEIN,2025,9,
Otras Oficinas Migratorias,MALTA,2025,9,
Otras Oficinas Migratorias,MONACO,2025,9,
Otras Oficinas Migratorias,R.F.YUGOSLAVIA,2025,9,
Otras Oficinas Migratorias,REP.MOLDOVA,2025,9,
Otras Oficinas Migratorias,SAN MARINO,2025,9,
Otras Oficinas Migratorias,VATICANO,2025,9,
Otras Oficinas Migratorias,RUMANIA,2025,9,
Otras Oficinas Migratorias,UCRANIA,2025,9,
Otras Oficinas Migratorias,SUECIA,2025,9,
Otras Oficinas Migratorias,SUIZA,2025,9,
Otras Oficinas Migratorias,RUSIA,2025,9,
Otras Oficinas Migratorias,AUSTRALIA,2025,4,431
Otras Oficinas Migratorias,NUEVA ZELANDIA,2025,4,67
Otras Oficinas Migratorias,PAPUA (NG),2025,4,0
Otras Oficinas Migratorias,FIJI,2025,4,0
Otras Oficinas Migratorias,ISLAND MARSHALL,2025,4,0
Otras Oficinas Migratorias,KIRIBATI,2025,4,0
Otras Oficinas Migratorias,NAURU,2025,4,0
Otras Oficinas Migratorias,SALOMON ISLA,2025,4,1
Otras Oficinas Migratorias,SAMOA OCCIDENTAL,2025,4,0
Otras Oficinas Migratorias,TONGA,2025,4,0
Otras Oficinas Migratorias,TUVALU,2025,4,0
Otras Oficinas Migratorias,VANUATU,2025,4,0
Otras Oficinas Migratorias,AUSTRALIA,2025,8,
Otras Oficinas Migratorias,NUEVA ZELANDIA,2025,8,
Otras Oficinas Migratorias,PAPUA (NG),2025,8,
Otras Oficinas Migratorias,FIJI,2025,8,
Otras Oficinas Migratorias,ISLAND MARSHALL,2025,8,
Otras Oficinas Migratorias,KIRIBATI,2025,8,
Otras Oficinas Migratorias,NAURU,2025,8,
Aeropuerto Internacional Jorge Chávez,MAURITANIA,2020,5,0
Aeropuerto Internacional Jorge Chávez,MOZAMBIQUE,2020,5,0
